SANDAŁY HYPERPORT H2-BLACK-STEEL GREY,"389,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 8 (42) UK 8,5 (42,5) UK 9 (43) UK 9,5 (44) UK 10 (44,5)",2025-07-14,Specyfikacja    Materiał  Paski: poliester    Kolor  Czarny
SANDAŁY HIKE 2-TAWNY BROWN-HONEY BROWN,"364,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 7,5 (41) UK 8 (42) UK 9 (43) UK 10 (44) UK 10,5 (45) UK 11,5 (46) UK 12 (47)",2025-07-14,"Specyfikacja    Materiał  Paski: poliester z powłoką PU, podeszwa wewnętrza: pianka poliuretanowa, podeszwa zewnętrzna: Lizard Core Grip z mieszanką gum Vibram      Waga (g)  270 (1 sandał)     Kolor  Brązowy"
BUTY RAPID LT-CARAMEL-CARAMEL,"607,74",0 of 100,Oceń ten produkt jako pierwszy,"41,5 42,5 43,5 44,5 45,5 46,5 42 44 45",2025-07-14,Specyfikacja    Materiał  Cholewka: materiał syntetyczny z nadrukiem TPUPodeszwa zewnętrzna: Vibram® MegagripPodeszwa wewnętrzna: pianka EVAWkładka: Ortholite    Wyściółka  Syntetyczna    Waga (g)  355 (1 but)    Kolor  Brązowy
BUTY RAPID XT GTX-SHARK-MILITARY,"663,77",0 of 100,Oceń ten produkt jako pierwszy,"41,5 42,5 43,5 44,5 46,5 43 44 45 46",2025-07-14,"Specyfikacja    GoreTex  Tak    Materiał  Cholewka: skóra zamszowa 1,8 mmMembrana: GORE-TEX® ePE Most Breathable Bluesign®Podeszwa zewnętrzna: Vibram® MegagripPodeszwa wewnętrzna: pianka EVAWkładka: Ortholite    Waga (g)  410 (1 but)    Kolor  Szary"
BUTY RUSH TRK GTX-DARK ANTHRACITE-BLACK,"767,51",96.67 of 100,(Liczba opinii:  6),"42,5 43 44 46",2025-07-14,Specyfikacja    Materiał  Cholewka – Eco Mesh+Eco Micorfiber+ Eco Film Podeszwa – Presa® HIK-03 Membrana- GORE-TEX Invisible Fit    GoreTex  Tak    Waga (g)  415 (1 but)    Kolor  Czarny
BUTY RUSH 2 MID GTX-MOSS-SULPHUR,"614,99",100 of 100,(Liczba opinii:  1),"44,5 45,5 41 42 46",2025-07-14,Specyfikacja    Materiał  Cholewka – Eco Mesh+Eco Micorfiber+ Eco Film Podeszwa – Presa® HIK-03 Membrana – GORE-TEX Invisible Fit    GoreTex  Tak    Waga (g)  415 (1 but)    Kolor  Zielony
BUTY X ULTRA 5 MID GTX-BLACK-ASPHALT-CASTLEROCK,"623,99",0 of 100,Oceń ten produkt jako pierwszy,UK 7 (40 2/3) UK 8 (42) UK 9 (43 1/3) UK 11 (46) UK 12 (47 1/3),2025-07-14,"Specyfikacja    Materiał  Cholewka: Matryx, Gore-TexWyściółka: tekstylnaWkładka: OrtholiteŚródpodeszwa EnergyCellPodeszwa: All Terrain Contagrip     GoreTex  Tak    Waga (g)  ok. 440 (½ pary)    Kolor  Czarny"
BUTY X ULTRA 5 MID GTX-PEAT-GRAY GREEN-BLUE NIGHTS,"599,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 8 (42) UK 11,5 (46 2/3) UK 12 (47 1/3)",2025-07-14,"Specyfikacja    Materiał  Cholewka: Matryx, Gore-TexWyściółka: tekstylnaWkładka: OrtholiteŚródpodeszwa EnergyCellPodeszwa: All Terrain Contagrip     GoreTex  Tak    Waga (g)  ok. 440 (½ pary)    Kolor  Wielokolorowy"
BUTY RIBELLE HD-CARBON-AZURE,"1325,59",0 of 100,Oceń ten produkt jako pierwszy,"41,5 42,5 43,5 44,5 45,5 42 43 44 45 46",2025-07-14,"Specyfikacja    Materiał  Skóra zamszowa Perwanger 2,2-2,4 mmMembrana HDry® B5 Biobased LaminationWyściółka: materiał tekstylnyPodeszwa zewnętrzna: Vibram®Podeszwa wewnętrzna: pianka PU o dwóch gęstościach     Waga (g)  695 (1 but)    Kolor  Szary"
BUTY RIBELLE HD-TONIC-TONIC,"1292,45",0 of 100,Oceń ten produkt jako pierwszy,"44,5 45,5 46,5 42 44 45 46 47",2025-07-14,"Specyfikacja    Materiał  Skóra zamszowa Perwanger 2,2-2,4 mmMembrana HDry® B5 Biobased LaminationWyściółka: materiał tekstylnyPodeszwa zewnętrzna: Vibram®Podeszwa wewnętrzna: pianka PU o dwóch gęstościach     Waga (g)  695 (1 but)    Kolor  Pomarańczowy"
BUTY ORIGIN-MIDGRAY-NECTARINE,"463,99",0 of 100,Oceń ten produkt jako pierwszy,"39,5 40,5 41,5 42,5 43,5 44,5 39 40 41 42 43 44",2025-07-14,Specyfikacja    Materiał  Skóra zamszowaWkładka: zamszPodeszwa: Vibram® XS Edge    Waga (g)  255 (1 but)    Kolor  Szary
BUTY MOJITO WRAP GTX-DARK ROCK,"662,21",0 of 100,Oceń ten produkt jako pierwszy,"37,5 38,5 39,5 41,5 37 38 39 40 41 42 43",2025-07-14,Specyfikacja    GoreTex  Tak    Materiał  skóra zamszowa; podeszwa: Presa® URB-05; podszewka: Eco Stretch Textile; membrana: GORE-TEX® ePTFE Most Breathable    Waga  375 g (1 but)    Kolor  Brązowy
BUTY MOJITO WRAP-GRAPHITE,"628,67",0 of 100,Oceń ten produkt jako pierwszy,"36,5 37,5 38,5 39,5 40,5 41,5 43,5 36 37 38 39 40 41 42 43",2025-07-14,Specyfikacja    Materiał  Skóra zamszowaPodeszwa: Presa® URB-05Podszewka: Eco Stretch Textile    Wyściółka  N.d.    Waga (g)  350 (1 but)    Kolor  Szary
BUTY MOJITO PLANET-SUEDE-MIDGRAY,"558,47",100 of 100,(Liczba opinii:  1),"41,5 42,5 43,5 44,5 45,5 46,5 41 42 43 44 45 46 47 48",2025-07-14,"Specyfikacja    Materiał  cholewka: Eco zamsz Idro 1,4-1,6 mmpodszewka: tkanina Eco Stretchpodeszwa: Presa URB-03 – mieszanka gum w 20 z recyklingupodeszwa wewnętrzna: pianka EVA w 20 z recyklingu    Waga (g)  360    Waga  360 g    Kolor  Szary"
BUTY MOJITO PLANET-SUEDE-DARK GRASSHOPPER,"538,99",100 of 100,(Liczba opinii:  1),"36,5 37,5 39,5 41,5 42,5 43,5 44,5 45,5 37 38 39 40 41 42 44 45 47",2025-07-14,"Specyfikacja    Materiał  cholewka: Eco zamsz Idro 1,4-1,6 mmpodszewka: tkanina Eco Stretchpodeszwa: Presa URB-03 – mieszanka gum w 20 z recyklingupodeszwa wewnętrzna: pianka EVA w 20 z recyklingu    Waga (g)  360    Kolor  Zielony"
BUTY MOJITO-SHARK,"572,79",0 of 100,Oceń ten produkt jako pierwszy,"40,5 41,5 42,5 43,5 44,5 45,5 46,5 39 40 41 42 43 44 46 47",2025-07-14,"Specyfikacja    Materiał  Cholewka:skóra zamszowaPodeszwa:Vibram Spyder    Waga (g)  350 (jeden but, rozm. 42)    Kolor  Szary"
BUTY MOJITO-PETROL,"558,47",0 of 100,Oceń ten produkt jako pierwszy,"37,5 39,5 41,5 37 40 41",2025-07-14,"Specyfikacja    Materiał  Cholewka:skóra zamszowaPodeszwa:Vibram Spyder    Waga (g)  350 (jeden but, rozm. 42)    Kolor  Granatowy"
BUTY MOJITO-OCEAN,"558,47",0 of 100,Oceń ten produkt jako pierwszy,"43,5 45,5 41 45",2025-07-14,"Specyfikacja    Materiał  cholewka:skóra zamszowapodeszwa:Vibram Spyder    Waga (g)  350 (jeden but, rozm. 42)    Kolor  Niebieski"
BUTY MOJITO-IRON GRAY,"558,47",0 of 100,Oceń ten produkt jako pierwszy,"37,5 38,5 39,5 40,5 41,5 42,5 43,5 44,5 46,5 39 40 41 42 43 44 47",2025-07-14,"Specyfikacja    Materiał  cholewka:skóra zamszowapodeszwa:Vibram Spyder    Waga (g)  350 (jeden but, rozm. 42)    Kolor  Szary"
