SANDAŁY ASTORIA WEST-GREY-CORAL,"399,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 4 (37) UK 4,5 (37,5) UK 5 (38) UK 5,5 (38,5) UK 6 (39) UK 6,5 (39,5) UK 7 (40)",2025-07-14,"Specyfikacja    Materiał  Cholewka: skóra naturalna, materiał syntetyczny z recyklingu Wkładka: pianka EVA Podeszwa środkowa: pianka EVA Podeszwa zewnętrzna: guma Aquagrip z lamelami Aqua Stop    Kolor  Szary"
BUTY RAPID LT WOMEN-SAND-SAND,"607,74",0 of 100,Oceń ten produkt jako pierwszy,"37,5 39,5 40,5 41,5 37 39 40 41 42",2025-07-14,Specyfikacja    Materiał  Cholewka: materiał syntetyczny z nadrukiem TPUPodeszwa zewnętrzna: Vibram® MegagripPodeszwa wewnętrzna: pianka EVAWkładka: Ortholite    Wyściółka  Syntetyczna    Waga (g)  305 (1 but)    Kolor  Szary
BUTY RAPID XT WOMEN-CONIFER-SUNNY LIME,"604,99",0 of 100,Oceń ten produkt jako pierwszy,"41,5 41",2025-07-14,"Specyfikacja    Materiał  cholewka: skóra zamszowa 1,8 mm; podeszwa zewnętrzna: Vibram® Megagrip; podeszwa wewnętrzna: pianka EVA; wkładka: Ortholite    Wyściółka  Skórzana    Waga (g)  330    Kolor  Zielony"
BUTY MOJITO TRAIL GTX WOMEN-SMOKE-JADE,"662,21",100 of 100,(Liczba opinii:  1),"37,5 40,5 38 40 41",2025-07-14,"Specyfikacja    GoreTex  Tak    Materiał  Cholewka: skóra zamszowa 1,8 mm, Gore-TexPodeszwa środkowa: L-FlexPodeszwa zewnętrzna: Vibram XS Trek    Waga (g)  385 (½ pary rozm. 38)    Kolor  Szary"
BUTY RUSH 2 MID GTX WOMEN-SAGE-DUSTY YELLOW,"697,31",0 of 100,Oceń ten produkt jako pierwszy,"38,5 39,5 40,5 41,5 38 39 40 41 42",2025-07-14,Specyfikacja    Materiał  Cholewka – Eco Mesh+Eco Micorfiber+ Eco Film Podeszwa – Presa® HIK-03 Membrana – GORE-TEX Invisible Fit    GoreTex  Tak    Waga (g)  345 (1 but)    Kolor  Zielony
BUTY MORAINE GTX WOMEN-MINERAL,"684,24",0 of 100,Oceń ten produkt jako pierwszy,"37,5 38,5 40,5 41,5 37 38 39 40 41",2025-07-14,"Specyfikacja    GoreTex  Tak    Materiał  Cholewka: 1,6-1,8 mm Oiled Nubuck Idro, mesh, Gore-Tex®Podeszwa: Presa® HIK-04    Waga (g)  400 (½ pary rozm. 38)    Kolor  Szary"
BUTY X ULTRA 5 MID GTX WOMEN-NINE IRON-GULL-SOFT CLAY,"583,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 4 (36 2/3) UK 4,5 (37 1/3) UK 5 (38) UK 6 (39 1/3)",2025-07-14,"Specyfikacja    Materiał  Cholewka: Matryx, Gore-TexWyściółka: tekstylnaWkładka: OrtholiteŚródpodeszwa EnergyCellPodeszwa: All Terrain Contagrip     GoreTex  Tak    Waga (g)  ok. 390 (½ pary)    Kolor  Szary"
BUTY X ULTRA 5 MID GTX WOMEN-BURLWOOD-FRENCH ROAST-RATTAN,"599,99",0 of 100,Oceń ten produkt jako pierwszy,UK 4 (36 2/3),2025-07-14,"Specyfikacja    Materiał  Cholewka: Matryx, Gore-TexWyściółka: tekstylnaWkładka: OrtholiteŚródpodeszwa EnergyCellPodeszwa: All Terrain Contagrip     GoreTex  Tak    Waga (g)  ok. 390 (½ pary)    Kolor  Wielokolorowy"
BUTY X ULTRA 5 GTX WOMEN-BURLWOOD-FRENCH ROAST-RATTAN,"525,59",0 of 100,Oceń ten produkt jako pierwszy,"UK 4 (36 2/3) UK 6,5 (40)",2025-07-14,"Specyfikacja    GoreTex  Tak    Materiał  Cholewka: Matryx, Gore-TexWyściółka: tekstylnaWkładka: OrtholiteŚródpodeszwa EnergyCellPodeszwa: All Terrain Contagrip     Wyściółka  Materiał tekstylny    Waga (g)  ok. 320 (½ pary)    Kolor  Wielokolorowy"
BUTY ZODIAC TECH GTX WOMEN-ANTHRACITE- LAVENDER,"1117,73",0 of 100,Oceń ten produkt jako pierwszy,"37,5 38,5 39,5 40,5 41,5 37 38 39 40 41 42",2025-07-14,"Specyfikacja    Materiał  cholewka: 1,6-1,8 mm skóra zamszowa, materiał tekstylny, Gore-Tex® Performance Comfort podeszwa: Vibram    GoreTex  Tak    Waga (g)  570 g (½ pary rozm. 38)    Kolor  Szary"
